Lipids,Regions,p_value,FoldChange,r
GM1,rh_fusiform_volume,0.006740358717981946,0.0591915162244834,-0.06892640267078423
SULFATIDE,rh_fusiform_volume,0.25797483087675244,2.2007928832538557,-0.028805401238116257
SM,rh_fusiform_volume,0.5086028694046155,517.094750248497,0.01683482409584581
PA,rh_fusiform_volume,0.0004551416690594773,-0.033509691604096344,0.0891162910448527
PC,rh_fusiform_volume,0.6771432513634877,64.84324829064533,0.010604489785233205
LPC,rh_fusiform_volume,0.8636145204740794,-156.80276485877502,-0.004375077810119413
PE,rh_fusiform_volume,0.008524284739817036,251.1322986938491,0.06692527574553628
LPE,rh_fusiform_volume,0.5733767361157338,2.9609175137384214,-0.014341023721861539
PI,rh_fusiform_volume,0.7654747885383424,4.574958254453949,0.007597559241503274
PIP1,rh_fusiform_volume,9.883616663432285e-09,-0.04895908706682084,0.14523716370395373
LPI,rh_fusiform_volume,0.9436870801214521,-1.9180518631277717,0.0017991065735948612
PS,rh_fusiform_volume,0.06872565854676982,-0.4554387343771016,0.046335999897065966
PG,rh_fusiform_volume,0.23308915376632255,0.06018045452363217,0.030364368223728105
CE,rh_fusiform_volume,0.7444757368641807,598.5515504024247,-0.008301333492584866
COH,rh_fusiform_volume,0.7371066521840925,7.8555831085525645,-0.0085497861461929
DE,rh_fusiform_volume,0.7458312357128112,4.502668313686472,-0.008255718628724828
DEDE,rh_fusiform_volume,4.254344857600691e-07,0.036713919214259524,-0.1282744744686953
METHYL,rh_fusiform_volume,0.7909454537196032,23.950299303867244,0.006751578148112353
DIMETHYL,rh_fusiform_volume,0.6269271357681225,9.992368335902983,0.012379363146791663
FA,rh_fusiform_volume,0.10251570307705772,-531.4004012785159,0.041568810557963215
AC,rh_fusiform_volume,0.05499944922556732,-0.4269049467699574,-0.048844634523303766
CA,rh_fusiform_volume,0.15117623638637226,0.007814363459482472,0.03654708754682752
DXCA,rh_fusiform_volume,0.15953232808215304,0.009527273402700138,0.035815724676689885
DG,rh_fusiform_volume,0.1870072525221926,-233.08603660094656,0.0335977219079609
TG,rh_fusiform_volume,0.17530590388840908,-681.924413559422,-0.034510438208437216
UBIQUINONE,rh_fusiform_volume,0.0024288296371668006,1.402877805302123,-0.07711168428987167
SPH,rh_inferiorparietal_volume,1.1401535939649007e-05,-0.0023965526701708413,0.11143244185722204
S1P,rh_inferiorparietal_volume,0.6424403580550082,-0.0009053519631688427,0.011825020067160043
DHCER,rh_inferiorparietal_volume,4.288040701740993e-05,0.0010124048902947947,0.10392513181094894
CER,rh_inferiorparietal_volume,0.04579975643316129,0.16722838318707006,0.050836575726779874
CER1P,rh_inferiorparietal_volume,0.5483703295636942,-0.0003244816862748079,-0.015286275773782332
HEXCER,rh_inferiorparietal_volume,0.025460493883227037,0.037838164253611174,0.05686258180532481
HEX2CER,rh_inferiorparietal_volume,0.03148173011281101,0.005400261098540884,-0.05474301221678808
HEX3CER,rh_inferiorparietal_volume,0.04332110028381125,0.004593791226015409,-0.051430557938692945
GM3,rh_inferiorparietal_volume,1.3371320971195472e-10,0.03785557940011163,-0.16250219626323398
GM1,rh_inferiorparietal_volume,0.02089222786065663,-0.0006024687132406673,-0.058782850431278746
SULFATIDE,rh_inferiorparietal_volume,0.914249386460041,-0.03683583870020952,-0.002742604656986255
SM,rh_inferiorparietal_volume,0.000924080341428662,-3.3946145352035835,0.08422376410615905
PA,rh_inferiorparietal_volume,0.03708904931608074,-0.0011967237228674643,0.053061912812058874
PC,rh_inferiorparietal_volume,0.8121262986861895,14.14202906492949,0.0060537425330159395
LPC,rh_inferiorparietal_volume,0.7431496105577096,3.8531669399622643,-0.008345985677165487
PE,rh_inferiorparietal_volume,0.2034552679408042,1.5621732939842448,0.032383402969143764
LPE,rh_inferiorparietal_volume,0.04514897710011221,0.40499563763372465,-0.05098985366622096
PI,rh_inferiorparietal_volume,0.7533082190877958,0.5828734203538434,-0.008004575710118571
PIP1,rh_inferiorparietal_volume,8.79326437552292e-06,0.000684314404021755,0.11284961680749561
LPI,rh_inferiorparietal_volume,0.20724627258226427,0.05525139904829961,-0.032113756023707356
PS,rh_inferiorparietal_volume,0.7768459391634182,-0.05092257423715895,0.007218899092518935
PG,rh_inferiorparietal_volume,0.6155685486235437,0.009307733268700389,0.012788979529905578
CE,rh_inferiorparietal_volume,0.09423311679294791,-29.078947428857767,0.04260407625674795
COH,rh_inferiorparietal_volume,0.6255807032815719,11.567614762669953,-0.012427749694015755
DE,rh_inferiorparietal_volume,0.08256580118589167,-0.42198205978049264,0.04419396041837122
DEDE,rh_inferiorparietal_volume,3.691192339243576e-06,-0.00514291029274897,-0.11746801212844513
METHYL,rh_inferiorparietal_volume,0.5289687596143519,-0.38958638725946243,0.01603437057005458
DIMETHYL,rh_inferiorparietal_volume,0.31001791212837343,-0.27417569689635346,0.02585238360994904
FA,rh_inferiorparietal_volume,0.8177685827209366,-8.832569347468596,-0.005868633496532702
AC,rh_inferiorparietal_volume,0.06108219430446098,-0.03019695970475958,-0.04767555796231392
CA,rh_inferiorparietal_volume,0.028821234638658468,-0.0005521393368228208,0.05563224862341376
DXCA,rh_inferiorparietal_volume,0.1619207250364409,-0.00011115948636352634,0.035612022728117844
DG,rh_inferiorparietal_volume,0.8403792217000937,1.5249069115589227,-0.00512983052403953
TG,rh_inferiorparietal_volume,0.02137029492647951,12.886372182649513,-0.05856567566978866
UBIQUINONE,rh_inferiorparietal_volume,0.2144744820186916,-0.5350819857476448,-0.03160936957719555
SPH,rh_inferiortemporal_volume,1.777682708414695e-06,0.0010491164621371518,0.12122566281113427
S1P,rh_inferiortemporal_volume,0.02635080695994872,0.1197759034913376,0.05652360635248545
DHCER,rh_inferiortemporal_volume,1.0731150830452355e-05,-0.22736050694950743,0.11176455340028052
CER,rh_inferiortemporal_volume,0.08177122049819652,0.1085548388771544,0.044308695444891126
CER1P,rh_inferiortemporal_volume,0.5178856545337488,0.00418948971634435,-0.016467962660512595
HEXCER,rh_inferiortemporal_volume,0.16186107982527256,1.0770293198298928,0.03561708206119241
HEX2CER,rh_inferiortemporal_volume,0.3337740164037579,0.7714755787534504,-0.024614004689482757
HEX3CER,rh_inferiortemporal_volume,0.4619146719488776,0.925882172276935,-0.01873654525087635
GM3,rh_inferiortemporal_volume,1.4250924902427287e-07,1.0595727709218585,-0.13342289222451062
GM1,rh_inferiortemporal_volume,0.14091226395671577,0.033581829262586106,-0.037488842550715946
SULFATIDE,rh_inferiortemporal_volume,0.4206373529534944,0.5949134185323594,-0.020509207096105993
SM,rh_inferiortemporal_volume,0.014648908911323623,95.39574466108225,0.062110720777887575
PA,rh_inferiortemporal_volume,0.0009215761752623053,0.005808255999587672,0.0842429911355294
PC,rh_inferiortemporal_volume,0.7696519090878559,37.677027707896606,0.007458270227047336
LPC,rh_inferiortemporal_volume,0.6978350933551964,-32.617199999899874,-0.009888329644663997
PE,rh_inferiortemporal_volume,0.10464972406120089,-3.466310078996788,0.04131291115179694
LPE,rh_inferiortemporal_volume,0.018638866776563217,-0.9587845406688993,-0.05986880440662295
PI,rh_inferiortemporal_volume,0.8072123918128266,-4.922712704285455,0.006215215693190029
PIP1,rh_inferiortemporal_volume,7.581162650505436e-08,0.005505258423717044,0.13630782366303953
LPI,rh_inferiortemporal_volume,0.15823862436333833,-0.5608077892208205,-0.03592702578253848
PS,rh_inferiortemporal_volume,0.1342708767289199,-0.14174725511268646,0.03812664296700771
PG,rh_inferiortemporal_volume,0.5701290276457218,-0.059636325815961615,-0.014462651551891649
CE,rh_inferiortemporal_volume,0.4598916549077306,532.3930440029765,0.018821275071547922
COH,rh_inferiortemporal_volume,0.7102182193976648,26.562478511564123,0.009463482753481103
DE,rh_inferiortemporal_volume,0.025962139786345647,6.507440469641224,0.05667035045079972
DEDE,rh_inferiortemporal_volume,0.000884837809354148,0.049973922373416024,-0.0845307729901983
METHYL,rh_inferiortemporal_volume,0.10781457700622375,-6.942587698050205,0.040940915672953306
DIMETHYL,rh_inferiortemporal_volume,0.04794256119249674,-4.033766636639973,0.05034450276026647
FA,rh_inferiortemporal_volume,0.051382460949975416,59.484003260979314,0.0495918646337767
AC,rh_inferiortemporal_volume,0.6292176227412518,0.2551481148087024,-0.012297152584277176
CA,rh_inferiortemporal_volume,0.09839820773686944,0.0050122549982290895,0.04207477445300364
DXCA,rh_inferiortemporal_volume,0.26663102155552176,0.003157030635190338,0.028287753169741255
DG,rh_inferiortemporal_volume,0.7894990747644782,-387.64881148599665,0.006799410571809595
TG,rh_inferiortemporal_volume,0.00737891274284252,-372.89585641982836,-0.06816079960747376
UBIQUINONE,rh_inferiortemporal_volume,0.05386713913842477,10.23030373376769,-0.049074032859926744
SPH,rh_isthmuscingulate_volume,1.3639733025598825e-09,-0.003458215957620139,0.15342502738781635
S1P,rh_isthmuscingulate_volume,0.0006292826692605102,0.027049476787883758,0.08690855939351644
DHCER,rh_isthmuscingulate_volume,3.5665902064681353e-10,-0.02979407596757074,0.15873136360166648
CER,rh_isthmuscingulate_volume,0.020080571382360874,-0.052105230199166505,0.0591616815318714
CER1P,rh_isthmuscingulate_volume,0.35458111990505103,-0.0006456451205142721,-0.023575281508137237
HEXCER,rh_isthmuscingulate_volume,0.1283649522246158,0.3381097611538687,0.038714621276673286
HEX2CER,rh_isthmuscingulate_volume,0.1262156495764206,0.020101176712447093,-0.03893381199031817
HEX3CER,rh_isthmuscingulate_volume,0.040228289312981995,-0.08980570704963464,-0.052213356870144126
GM3,rh_isthmuscingulate_volume,1.7936395799789798e-11,-0.5547031662806949,-0.16995960618440237
GM1,rh_isthmuscingulate_volume,0.20000050963572305,-0.01357028671863801,-0.03263233443265876
SULFATIDE,rh_isthmuscingulate_volume,0.21134930579644673,0.4000610571482777,0.03182591421064224
SM,rh_isthmuscingulate_volume,0.03110667034861633,-10.70568529392853,0.05486437083147349
PA,rh_isthmuscingulate_volume,0.0024366748623432994,0.011791812942697166,0.07708699878956407
PC,rh_isthmuscingulate_volume,0.9894169066389045,-46.092874349132885,-0.00033784190125246845
LPC,rh_isthmuscingulate_volume,0.763875381813766,-31.804982780223483,-0.007650952514083896
PE,rh_isthmuscingulate_volume,0.08002007346254474,-56.00485526311324,0.0445647823437169
LPE,rh_isthmuscingulate_volume,0.14443681476899886,-0.9435695638000019,-0.03715970623245428
PI,rh_isthmuscingulate_volume,0.8230321673927843,-7.4982726985191785,0.005696227589735759
PIP1,rh_isthmuscingulate_volume,6.59553379486729e-05,0.005874808317079717,0.1013740040375686
LPI,rh_isthmuscingulate_volume,0.0737439772426538,-0.06000743237662765,-0.045521731288917795
PS,rh_isthmuscingulate_volume,0.17963049719516047,-0.19773326895677876,0.03416799403421535
PG,rh_isthmuscingulate_volume,0.22074020912357098,-0.01633441376500443,0.03118196394068524
CE,rh_isthmuscingulate_volume,0.17653546597679093,171.59692790281048,0.034412441204055226
COH,rh_isthmuscingulate_volume,0.9904747793061528,64.13211721554481,0.00030406995894406697
DE,rh_isthmuscingulate_volume,0.7422006111026384,4.408958710547004,0.008377955302122951
DEDE,rh_isthmuscingulate_volume,0.005617660427142265,0.08426495758954199,-0.07044635367972192
METHYL,rh_isthmuscingulate_volume,0.6601245499502729,-4.3443448307342445,0.011199838830680042
DIMETHYL,rh_isthmuscingulate_volume,0.3718894726428149,-1.427950909795857,0.022740195247725456
FA,rh_isthmuscingulate_volume,0.961365519689828,95.0813500773564,0.0012337662519047307
AC,rh_isthmuscingulate_volume,0.6808161393128954,0.1659577241623538,0.010476771667245085
CA,rh_isthmuscingulate_volume,0.975936286247489,-0.011118219053520485,0.0007682748305574361
DXCA,rh_isthmuscingulate_volume,0.5729404281984034,-0.0024916273937451764,0.014357344557653848
DG,rh_isthmuscingulate_volume,0.8140386016996323,20.907209892544863,-0.0059909694126117005
TG,rh_isthmuscingulate_volume,0.05294821148878704,-223.55689456293226,-0.049263176248116713
UBIQUINONE,rh_isthmuscingulate_volume,0.10267824349461924,-11.275795151172275,-0.041549171556674834
SPH,rh_lateraloccipital_volume,1.9239972618599868e-10,-0.010680866551011628,0.16111399746401153
S1P,rh_lateraloccipital_volume,0.0830219507932152,-0.10899539470545577,0.044128497289521625
DHCER,rh_lateraloccipital_volume,3.664064809379669e-10,0.0070638644079612095,0.1586264549358502
CER,rh_lateraloccipital_volume,4.6240546380185806e-07,0.709209689021952,0.1278739776203944
CER1P,rh_lateraloccipital_volume,0.013141889984905047,0.0002021720158831282,-0.06310002204041297
HEXCER,rh_lateraloccipital_volume,0.0005993093655658159,0.16338017234625735,0.0872443160901792
HEX2CER,rh_lateraloccipital_volume,0.4751050676393633,0.14124772140251263,-0.01818907513932479
HEX3CER,rh_lateraloccipital_volume,0.005100152677358225,0.16005836377075897,-0.07124151044919498
GM3,rh_lateraloccipital_volume,1.3468520789372e-09,0.13863990979146018,-0.1534758548409803
GM1,rh_lateraloccipital_volume,0.640323161000193,0.0031387294378348533,-0.011900340301217989
SULFATIDE,rh_lateraloccipital_volume,0.048557048271050895,0.08074135892487358,-0.050206804083225566
SM,rh_lateraloccipital_volume,0.0067354130364682295,31.99995261172409,0.06893258225513903
PA,rh_lateraloccipital_volume,0.003022479623930608,-0.0015452340252714353,0.07542209484463647
PC,rh_lateraloccipital_volume,0.05899651639357846,0.941933056005255,-0.048065068749587866
LPC,rh_lateraloccipital_volume,0.508111668411274,-12.102263606447801,-0.01685433356198166
PE,rh_lateraloccipital_volume,0.6190687890393446,-1.7130875664130212,-0.012662405189407906
LPE,rh_lateraloccipital_volume,0.1016786956706395,0.06330007648050222,-0.041670336004706036
PI,rh_lateraloccipital_volume,0.03265241614857651,-2.8123587126496146,-0.05437201702144942
PIP1,rh_lateraloccipital_volume,1.339912047328511e-12,-0.0005240114567142424,0.1791227864885212
LPI,rh_lateraloccipital_volume,0.026115729507705767,-0.08113877006132254,-0.05661213630439186
