Regions1,Regions2,p_value,FoldChange,r
rh_rostralanteriorcingulate_volume,rh_caudalmiddlefrontal_volume,2.015999242478219e-27,2.745648477431096,0.2711318110507464
rh_rostralmiddlefrontal_volume,rh_caudalmiddlefrontal_volume,4.347038824739487e-61,10.602531303956003,0.4021343430616883
rh_superiorfrontal_volume,rh_caudalmiddlefrontal_volume,4.922226664422734e-127,18.157691443818443,0.5579235992647361
rh_superiorparietal_volume,rh_caudalmiddlefrontal_volume,1.2972144919466096e-40,-0.31878630464704316,0.3302698877634017
rh_superiortemporal_volume,rh_caudalmiddlefrontal_volume,5.580241299302637e-43,25.756200395313876,0.3395889836444832
rh_supramarginal_volume,rh_caudalmiddlefrontal_volume,1.4784586852856398e-45,20.372399326613408,0.349386252847307
rh_transversetemporal_volume,rh_caudalmiddlefrontal_volume,1.4672742715563036e-32,2.4145314436741843,0.2958358895604137
rh_insula_volume,rh_caudalmiddlefrontal_volume,1.721671631059595e-44,6.987939106983646,0.3453751651369161
lh_caudalanteriorcingulate_volume,rh_caudalmiddlefrontal_volume,3.0675615716886827e-50,3.2584735523283666,0.3663483541610974
lh_caudalmiddlefrontal_volume,rh_caudalmiddlefrontal_volume,5.648827626387833e-173,5.8839403465270514,0.6320434287759358
lh_cuneus_volume,rh_caudalmiddlefrontal_volume,2.8894191587669063e-13,4.170391667195019,0.18432160621520347
lh_entorhinal_volume,rh_caudalmiddlefrontal_volume,3.498220299010434e-05,4.943162853500311,0.1051113453309167
lh_fusiform_volume,rh_caudalmiddlefrontal_volume,9.45907543135972e-37,27.24478815806202,0.3143212828206078
lh_inferiorparietal_volume,rh_caudalmiddlefrontal_volume,8.714155327726419e-33,28.16375888330919,0.29686909005093315
lh_inferiortemporal_volume,rh_caudalmiddlefrontal_volume,5.080681821773075e-30,38.624984135414266,0.28393766177080065
lh_isthmuscingulate_volume,rh_caudalmiddlefrontal_volume,9.674323059991744e-38,-1.5780904493534502,0.3185025227705234
lh_lateraloccipital_volume,rh_caudalmiddlefrontal_volume,3.436474608751186e-22,29.997071903939574,0.24301087083565515
lh_lateralorbitofrontal_volume,rh_caudalmiddlefrontal_volume,9.947209732480258e-46,8.676533233036363,0.35002831946144725
lh_lingual_volume,rh_caudalmiddlefrontal_volume,6.436415586226809e-20,-7.695584239950831,0.22959680360818355
lh_medialorbitofrontal_volume,rh_caudalmiddlefrontal_volume,1.3169201971225301e-30,12.076979048381014,0.2867362511101963
lh_middletemporal_volume,rh_caudalmiddlefrontal_volume,3.209003838105853e-51,56.769328878981675,0.3697730924256908
lh_parahippocampal_volume,rh_caudalmiddlefrontal_volume,2.811699600477867e-17,3.0071727054386064,0.21285428208251975
lh_paracentral_volume,rh_caudalmiddlefrontal_volume,8.157170099494396e-49,6.376037008106558,0.3612960737622068
lh_parsopercularis_volume,rh_caudalmiddlefrontal_volume,2.4459705631852004e-45,11.014723789811672,0.34856842258318216
lh_parsorbitalis_volume,rh_caudalmiddlefrontal_volume,2.9082650017667725e-24,2.466061651403028,0.2545682543181391
lh_parstriangularis_volume,rh_caudalmiddlefrontal_volume,9.434877086491802e-30,3.1170087946072003,0.28264390374656007
lh_pericalcarine_volume,rh_caudalmiddlefrontal_volume,6.480867576612383e-21,0.8591954919260992,0.23558496604158802
lh_postcentral_volume,rh_caudalmiddlefrontal_volume,1.2216191620762292e-65,23.649464011093762,0.41592464189853795
lh_posteriorcingulate_volume,rh_caudalmiddlefrontal_volume,1.3912751264225967e-58,9.05277511567225,0.3942563758175852
lh_precentral_volume,rh_caudalmiddlefrontal_volume,1.460322103758994e-113,27.875290011094684,0.5320217348615469
lh_precuneus_volume,rh_caudalmiddlefrontal_volume,1.774708296592322e-52,20.175622907077436,0.3741049873845515
lh_rostralanteriorcingulate_volume,rh_caudalmiddlefrontal_volume,1.4056238742402753e-65,3.6080603383321512,0.41574422435182806
lh_rostralmiddlefrontal_volume,rh_caudalmiddlefrontal_volume,2.7795844333739503e-93,6.393715291201434,0.48822914112939064
lh_superiorfrontal_volume,rh_caudalmiddlefrontal_volume,1.7817498757273624e-127,19.414635248261604,0.5587348001865113
lh_superiorparietal_volume,rh_caudalmiddlefrontal_volume,4.094196383448586e-34,-5.334477962829288,0.30284915158995523
lh_superiortemporal_volume,rh_caudalmiddlefrontal_volume,1.4196759435046273e-45,63.900136506538765,0.34945205473923174
lh_supramarginal_volume,rh_caudalmiddlefrontal_volume,1.9037355870505996e-58,36.402564660193775,0.39382191450808746
lh_transversetemporal_volume,rh_caudalmiddlefrontal_volume,1.3828095889658846e-25,4.868936569643131,0.26164842296904367
lh_insula_volume,rh_caudalmiddlefrontal_volume,1.1874260646988288e-44,12.449727516853516,0.3459859549055465
Left-Cerebellum-White-Matter,rh_caudalmiddlefrontal_volume,9.941533019113181e-05,9.542063354141472,0.09888640025030397
Left-Cerebellum-Cortex,rh_caudalmiddlefrontal_volume,3.84819404980312e-06,55.92776272864824,0.11725033103647205
Left-Thalamus-Proper,rh_caudalmiddlefrontal_volume,0.00043341796916155907,-0.7497845668401896,0.08944532841658928
Left-Caudate,rh_caudalmiddlefrontal_volume,0.01904620557423188,-2.9126623177495383,0.0596643051043209
Left-Putamen,rh_caudalmiddlefrontal_volume,3.3437790619861866e-13,19.706385033701753,0.18383323031935783
