Lipids,Regions,p_value,FoldChange,r
CER1P,rh_entorhinal_volume,0.04426833867270441,0.0020215752935327648,-0.07074277941276214
HEXCER,rh_entorhinal_volume,0.4200548456029908,0.4283678691569751,-0.028387095553331503
HEX2CER,rh_entorhinal_volume,0.6689739229410085,0.35933880578313754,-0.01505451746290414
HEX3CER,rh_entorhinal_volume,0.14039546251739307,-0.15562474024264644,-0.0518796377169556
GM3,rh_entorhinal_volume,0.01846258177073678,0.2968759901030593,-0.08282555243941121
GM1,rh_entorhinal_volume,0.00018409619301045633,-0.005457265054813128,-0.13112240595790886
SULFATIDE,rh_entorhinal_volume,0.18665024246923004,0.6832158409031325,-0.04647496484518837
SM,rh_entorhinal_volume,0.2134049381081948,63.49242456389938,0.04379247665072927
PA,rh_entorhinal_volume,0.5263303327263431,0.021102062296556347,-0.022308534277670523
PC,rh_entorhinal_volume,0.6039645082959286,95.65124791641632,-0.018263514041352697
LPC,rh_entorhinal_volume,0.47270088491907003,31.356441006697782,0.025281807602768994
PE,rh_entorhinal_volume,0.7194218581882907,24.77132987155547,-0.012648962335412916
LPE,rh_entorhinal_volume,0.0016673435732078134,0.8602136369858526,-0.11036510905748985
PI,rh_entorhinal_volume,0.7534978456106575,11.245177450451049,-0.01105748547732176
PIP1,rh_entorhinal_volume,0.04787044409089991,0.0016387035241006696,-0.06958420504150933
LPI,rh_entorhinal_volume,0.11866590742083293,0.5364872966609489,0.054904173812535366
PS,rh_entorhinal_volume,0.7874021412400587,0.1628610724504246,0.00949610995946247
PG,rh_entorhinal_volume,0.43413123782725854,0.0016613398714383407,-0.027536003987463482
CE,rh_entorhinal_volume,0.2756859407330559,155.8000629962592,-0.038369745197769034
COH,rh_entorhinal_volume,0.8348494013866743,-77.5950196267264,-0.0073412348012064305
DE,rh_entorhinal_volume,0.8370477984532486,2.054678227769414,0.007242115489646999
DEDE,rh_entorhinal_volume,0.7995038020981262,0.017946937969690446,0.008943439174019623
METHYL,rh_entorhinal_volume,0.23623893243644883,-5.4881186121658265,0.04168904867364026
DIMETHYL,rh_entorhinal_volume,0.5853475633594879,-3.127551647557086,0.019209867607357555
FA,rh_entorhinal_volume,0.24289348777385567,-137.52339976082922,-0.041103338217313615
AC,rh_entorhinal_volume,0.26369248691568503,-0.3496695501560201,-0.03934207507432422
CA,rh_entorhinal_volume,0.6791224038976775,-0.0022879643518300317,-0.014565295360210577
DXCA,rh_entorhinal_volume,0.544514730286545,-0.0002177557553009929,-0.02133639189332856
DG,rh_entorhinal_volume,0.03605443216723683,-8.740371599376767,0.0737161265931903
TG,rh_entorhinal_volume,0.3066399368393948,-124.4992484456396,0.03598607982983504
UBIQUINONE,rh_entorhinal_volume,0.5158722351631732,-4.1955560277658455,0.02287536711570139
SPH,rh_fusiform_volume,0.31539607365238975,0.018667451852049943,0.03534110494750766
